pcap_id,sample_hash,label,src_ip,dst_ip,src_port,dst_port,protocol,duration,total_bytes,total_packets,bytes_per_second,packets_per_second,pkt_len_mean,pkt_len_std,iat_mean,iat_std,burstiness,burst_count,is_complete_handshake,has_tls,tls_cipher_count,tls_ext_count,ja4_fingerprint,ja4_tls_ver_num,ja4_cipher_count,ja4_ext_count,ja4_sni_present,ja4_has_alpn,ja3_fingerprint,dns_query_count,dns_unique_queries,http_request_count,http_unique_hosts
28,Gamming,bengin,162.254.193.71,192.168.18.4,0,0,ICMP,0.0,590,1,590.0,1.0,590.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,185.25.183.179,192.168.18.4,27043,53091,UDP,897.170802,15457,31,17.2286,0.0346,498.6129,581.9924,29.905693,50.2511,0.25382,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,103.28.54.189,192.168.18.4,27022,53092,UDP,898.181427,15457,31,17.2092,0.0345,498.6129,581.9924,29.939381,50.260118,0.253377,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,155.133.238.194,192.168.18.4,27018,53093,UDP,898.083741,15457,31,17.2111,0.0345,498.6129,581.9924,29.936125,50.247761,0.253313,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,155.133.227.51,192.168.18.4,27022,53094,UDP,897.97033,15457,31,17.2133,0.0345,498.6129,581.9924,29.932344,50.273661,0.253613,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,103.10.124.119,192.168.18.4,27055,53089,UDP,898.27459,15457,31,17.2074,0.0345,498.6129,581.9924,29.942486,50.243397,0.253173,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,103.10.125.41,192.168.18.4,27159,53088,UDP,898.98792,15457,31,17.1938,0.0345,498.6129,581.9924,29.966264,50.274041,0.253087,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,146.66.155.69,53098,27057,UDP,1.310513,2684,2,2048.0529,1.5261,1342.0,0.0,1.310513,0.0,-1.0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,155.133.248.37,53099,27032,UDP,894.751628,16402,31,18.3313,0.0346,529.0968,560.9565,29.825054,50.258937,0.255156,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,172.255.8.172,53100,27019,UDP,895.052543,16402,31,18.3252,0.0346,529.0968,560.9565,29.835085,50.279315,0.255188,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,162.254.198.42,53101,27030,UDP,895.556241,16402,31,18.3149,0.0346,529.0968,560.9565,29.851875,50.280811,0.254939,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,155.133.230.102,53102,27019,UDP,895.657276,16402,31,18.3128,0.0346,529.0968,560.9565,29.855243,50.284569,0.254921,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,155.133.246.39,53103,27018,UDP,915.146912,23962778,54632,26184.6242,59.6975,438.6217,103.7309,0.016751,0.118572,0.752423,11276,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,185.25.182.51,53104,27019,UDP,876.146566,8797,45,10.0406,0.0514,195.4889,313.0813,19.912422,21.489204,0.038085,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,162.254.196.70,53105,27060,UDP,894.649141,16402,31,18.3334,0.0347,529.0968,560.9565,29.821638,50.26673,0.255282,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,162.254.194.38,53106,27092,UDP,896.665192,16402,31,18.2922,0.0346,529.0968,560.9565,29.88884,50.252095,0.254093,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,162.254.199.170,53107,27187,UDP,896.361064,16402,31,18.2984,0.0346,529.0968,560.9565,29.878702,50.238101,0.254121,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,155.133.246.39,192.168.18.4,27018,53103,UDP,915.114813,81572967,86151,89139.5985,94.1423,946.8604,379.2801,0.010622,0.095347,0.79952,29836,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,185.25.182.51,192.168.18.4,27019,53104,UDP,876.397638,7314,45,8.3455,0.0513,162.5333,315.8366,19.918128,21.496884,0.03812,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,162.254.196.70,192.168.18.4,27060,53105,UDP,894.660361,15457,31,17.2769,0.0347,498.6129,581.9924,29.822012,50.267777,0.255286,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,146.66.155.69,192.168.18.4,0,0,ICMP,2.620361,1770,3,675.4795,1.1449,590.0,0.0,1.31018,0.008329,-0.987365,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,172.255.8.172,192.168.18.4,27019,53100,UDP,895.046486,15457,31,17.2695,0.0346,498.6129,581.9924,29.834883,50.279603,0.255194,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,155.133.248.37,192.168.18.4,27032,53099,UDP,894.745782,15457,31,17.2753,0.0346,498.6129,581.9924,29.824859,50.259064,0.25516,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,155.133.230.102,192.168.18.4,27019,53102,UDP,895.653252,15457,31,17.2578,0.0346,498.6129,581.9924,29.855108,50.284987,0.254927,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,162.254.198.42,192.168.18.4,27030,53101,UDP,895.547592,15457,31,17.2598,0.0346,498.6129,581.9924,29.851586,50.281224,0.254947,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,162.254.192.124,53108,27046,UDP,896.06066,16402,31,18.3046,0.0346,529.0968,560.9565,29.868689,50.237386,0.254272,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
